"id","name","value","zf","items__id","items__title"
"1","发动机","A","z","9","异响"
"","","","","11","电子油门延迟"
"","","","","12","漏油"
"","","","","13","机油乳化"
"","","","","14","熄火"
"","","","","18","爆震"
"","","","","24","抖动"
"","","","","34","故障灯亮"
"","","","","35","怠速不稳"
"","","","","37","漏防冻液"
"","","","","38","噪音大"
"","","","","44","无法启动"
"","","","","45","正时链条及齿轮故障"
"","","","","53","喷油嘴故障"
"","","","","63","烧机油"
"","","","","85","油耗高"
"","","","","91","点火线圈故障"
"","","","","114","排气故障"
"","","","","128","连杆断裂"
"","","","","129","曲轴故障"
"","","","","136","缸体破损"
"","","","","137","喷气嘴故障"
"","","","","145","固定螺栓断裂"
"","","","","160","无法提速"
"","","","","163","功率不足"
"","","","","173","火花塞故障"
"","","","","174","油门故障"
"","","","","178","漏气"
"","","","","189","涡轮增压器故障"
"","","","","191","冷却系统故障"
"","","","","198","正时皮带断裂"
"","","","","221","水泵故障"
"","","","","222","皮带断裂"
"","","","","235","发动机壳体破裂"
"","","","","241","发动机下沉"
"","","","","247","缸体生锈"
"","","","","251","气门故障"
"","","","","255","动力消失"
"","","","","328","抱瓦"
"","","","","329","拉缸"
"","","","","336","缸内有异物"
"","","","","339","机油增多"
"","","","","341","电动机故障"
"","","","","342","电动机异响"
"","","","","346","电驱动控制器故障"
"2","变速器","B","z","19","顿挫"
"","","","","20","无法换挡"
"","","","","22","漏油"
"","","","","27","跳挡"
"","","","","33","异响"
"","","","","69","拖挡"
"","","","","77","机械部件故障"
"","","","","84","滑阀箱故障"
"","","","","95","抖动"
"","","","","96","故障灯亮"
"","","","","98","低温保护"
"","","","","115","电脑板故障"
"","","","","184","挡把总成故障"
"","","","","208","共振"
"","","","","246","脱挡"
"","","","","332","加压泵故障"
"","","","","334","无法加速"
"3","离合器","C","z","16","打滑"
"","","","","17","烧毁"
"","","","","65","异响"
"","","","","87","抖动"
"","","","","166","松动"
"","","","","181","沉重"
"","","","","207","漏油"
"","","","","267","离合器失效"
"4","转向系统","D","z","57","失灵"
"","","","","58","漏油"
"","","","","59","异响"
"","","","","80","抖动"
"","","","","106","平衡杆故障"
"","","","","112","助力泵故障"
"","","","","123","卡滞"
"","","","","154","方向盘不正"
"","","","","156","打方向沉重"
"","","","","265","转向机故障"
"","","","","291","故障灯亮"
"","","","","337","方向盘自由间隙过大"
"5","制动系统","E","z","29","刹车失灵"
"","","","","42","生锈"
"","","","","43","异响"
"","","","","47","异常磨损"
"","","","","62","故障灯亮"
"","","","","74","ABS故障"
"","","","","99","漏油"
"","","","","111","抖动"
